,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d,bird_name
130,73,2013-08-16 13:12:46+00,851,-42.8867207390879,49.54142879999999,2.2709761000000004,12.351020200776901,Eric
131,105,2013-08-16 13:27:35+00,851,127.19933299462299,49.541252,2.2698747999999997,0.8115417426109391,Eric
132,113,2013-08-16 13:42:33+00,851,-128.50393814007901,49.540978,2.2695435,1.8752333188166201,Eric
133,149,2013-08-16 13:57:28+00,851,-110.048234909002,49.5407656,2.2694598999999998,0.296816441593117,Eric
134,164,2013-08-16 14:12:56+00,851,-177.63598688848,49.5414826,2.2711917,0.13,Eric
135,156,2013-08-16 14:28:25+00,851,27.879616020629395,49.541526,2.2712277000000003,0.7596051605933181,Eric
136,158,2013-08-16 14:43:20+00,851,179.162048521039,49.5414842,2.2711951,0.5108815909777921,Eric
137,159,2013-08-16 14:58:15+00,851,23.313271914103797,49.5414831,2.2711964,0.24738633753706002,Eric
138,157,2013-08-16 15:13:11+00,851,-26.5654027915874,49.538391100000005,2.2666345000000003,0.48383881613611796,Eric
139,441,2013-08-16 15:28:10+00,851,8.19159793513371,49.539048799999996,2.2676662,0.291204395571221,Eric
140,659,2013-08-16 15:43:06+00,851,-0.7342159851706591,49.5377401,2.2684359,2.6742101637679903,Eric
141,406,2013-08-16 15:58:28+00,851,-10.676590110347698,49.5407485,2.2692688999999997,24.9602564089394,Eric
142,158,2013-08-16 16:13:27+00,851,-154.897469866982,49.5416559,2.2695875,0.12,Eric
143,159,2013-08-16 16:28:23+00,851,-26.457815743291203,49.5430278,2.2717072999999997,0.24166091947189103,Eric
144,201,2013-08-16 16:43:19+00,851,31.8921042017373,49.54379829999999,2.2718671,0.6113100686231171,Eric
145,174,2013-08-16 16:58:17+00,851,9.059459533130731,49.559985600000005,2.2719862999999996,0.6500769185258001,Eric
146,149,2013-08-16 17:13:11+00,851,-0.257132320741117,49.5600996,2.2721178,0.23021728866442698,Eric
147,129,2013-08-16 17:28:09+00,851,144.586419072219,49.562055900000004,2.266698,3.03819025079076,Eric
148,148,2013-08-16 17:43:06+00,851,8.1515993031207,49.5914959,2.2791552000000004,8.63104281069211,Eric
149,104,2013-08-16 17:58:16+00,851,-26.587498134576503,49.667888500000004,2.3260374,9.148868782532631,Eric
150,103,2013-08-16 18:13:38+00,851,0.5830308929353489,49.7066427,2.3302923,0.03,Eric
151,99,2013-08-16 18:28:39+00,851,45.8218675048272,49.7066685,2.3303191,1.6269296235547501,Eric
152,139,2013-08-16 18:43:39+00,851,-13.1759703085137,49.7680824,2.3211426,9.3122285195328,Eric
153,214,2013-08-16 18:58:33+00,851,12.9515332456322,49.8461735,2.3115688,8.162413858657251,Eric
154,97,2013-08-16 19:13:30+00,851,-5.706689819890059,49.917080299999995,2.2934837000000003,10.3507342734707,Eric
155,56,2013-08-16 19:28:23+00,851,164.78231536329,49.93076370000001,2.2768062999999996,0.12369316876853001,Eric
156,84,2013-08-16 19:43:21+00,851,-29.779106033881302,49.9330219,2.2762634,0.19697715603592197,Eric
157,62,2013-08-16 19:58:37+00,851,113.51119633889,49.932474799999994,2.2726674,0.0640312423743285,Eric
158,61,2013-08-16 20:13:27+00,851,-80.1531935649085,49.9324707,2.2726697999999996,1.5576905982896598,Eric
159,55,2013-08-16 20:28:23+00,851,30.886697373352398,49.9324707,2.2726775000000004,1.69814604790047,Eric
160,64,2013-08-16 20:43:19+00,851,90.4901652776948,49.932426299999996,2.2725883,0.17,Eric
161,65,2013-08-16 20:58:15+00,851,55.4737555429643,49.9324368,2.2726277,0.403112887414928,Eric
162,54,2013-08-16 21:28:19+00,851,-33.9404366857056,49.932488899999996,2.272612,1.82167505335062,Eric
163,65,2013-08-16 21:58:17+00,851,2.4975905318810097,49.9324619,2.2725074,0.150332963783729,Eric
164,60,2013-08-16 22:28:38+00,851,-73.9065650876912,49.93239570000001,2.2725468999999996,0.0806225774829855,Eric
165,58,2013-08-16 22:58:31+00,851,-34.4768437382086,49.932664200000005,2.2723543,0.30870698080866305,Eric
166,58,2013-08-16 23:28:24+00,851,-165.702605840656,49.9323739,2.2723001,0.8692525524840291,Eric
167,59,2013-08-16 23:58:18+00,851,-146.051623891205,49.9323354,2.2722767000000004,2.4880916381837697,Eric
168,66,2013-08-17 00:28:07+00,851,-131.32284274123,49.93233920000001,2.2723316000000002,0.125299640861417,Eric
169,77,2013-08-17 00:58:00+00,851,-74.98967440679141,49.9322713,2.2722298999999997,1.75601822314007,Eric
170,65,2013-08-17 01:27:54+00,851,-146.828208623475,49.932423299999996,2.2720466,0.14560219778560998,Eric
171,59,2013-08-17 01:57:45+00,851,131.932440516705,49.932424700000006,2.2721145000000003,1.63272777890253,Eric
172,58,2013-08-17 02:28:43+00,851,64.5435812334309,49.93250379999999,2.2720738999999996,0.7746612162745731,Eric
173,40,2013-08-17 02:58:42+00,851,31.2429563145929,49.9325973,2.2721352,2.44131112314674,Eric
174,62,2013-08-17 03:13:45+00,851,30.371910906154103,49.9324423,2.2720133999999996,0.7920227269466451,Eric
175,64,2013-08-17 03:28:40+00,851,-124.25739442245701,49.9324609,2.2719487000000003,1.6122654868228101,Eric
176,62,2013-08-17 03:43:47+00,851,-22.7034351478097,49.932493900000004,2.2720917999999997,2.4838679514016,Eric
177,63,2013-08-17 03:58:59+00,851,-54.7355836041502,49.9323801,2.2718691000000004,1.78885438199983,Eric
178,129,2013-08-17 04:14:18+00,851,150.273983679321,49.9805381,2.2549747000000004,1.08784190027779,Eric
179,70,2013-08-17 04:29:39+00,851,112.431352624992,49.9805216,2.2546482999999995,0.584636639289739,Eric
180,63,2013-08-17 04:44:53+00,851,5.3264601758595305,49.9815924,2.2545292000000003,1.3703284277865702,Eric
181,71,2013-08-17 05:00:27+00,851,-56.71909620426229,49.9822107,2.2540720000000003,0.854283325366942,Eric
182,74,2013-08-17 05:15:21+00,851,-34.9339904087145,49.982282700000006,2.2536658,1.8967867565965302,Eric
183,71,2013-08-17 05:30:15+00,851,-17.3468174868184,49.9824191,2.2542697,0.817435012707432,Eric
184,70,2013-08-17 05:45:11+00,851,-4.902117992925571,49.98234420000001,2.2534639,0.28284271247461895,Eric
185,73,2013-08-17 06:00:39+00,851,-96.74356629297291,49.9822974,2.2533956,0.312409987036266,Eric
186,65,2013-08-17 06:15:40+00,851,32.0013737818788,49.9824496,2.2535147,1.3473678042761699,Eric
187,73,2013-08-17 06:31:03+00,851,-108.40871651283301,49.982429499999995,2.2535174,0.470956473572665,Eric
188,77,2013-08-17 06:46:00+00,851,54.663653941924494,49.984435999999995,2.2484395,2.9860509037857996,Eric
189,-138,2013-08-17 07:00:57+00,851,178.740252342477,49.985924600000004,2.2452769,0.45044422518220795,Eric
